√лубина манометра;Dшт;“уст_ср;“заб_ср;Pлин_ср;“лин_кон;“уст;“заб;Tлин;ƒебит_ст_конд.;ƒебит_воды;ƒебит_кон_нестабильный;Ќэф;–пл_тек_послед;–пл_тек_квд;Pсб;Ro_c;”дельна€_плотность_газа ;G_total;† √‘
3576.3;7.94;249.6;370.1;101.8;101.8;53;103.2;32.5;83.6;0.4;131.3;56.8;45.25;56.5;93.6;801;0.6694;2.78;311.91
3576.3;9.53;233.5;364.6;101.3;102.4;58.8;103;38.6;104.7;1.4;158.5;56.8;45.25;56.5;92.9;801;0.6694;3.7;288.6
3576.3;11.11;213.4;357.1;101.6;100.6;63.6;102.6;43.4;114.3;1.9;172.3;56.8;45.25;56.5;91.4;801;0.6694;4.52;248.79
3576.3;12.7;191.6;347.4;98.4;99;64.7;102;46.1;121.3;3.3;181.5;56.8;45.25;56.5;89.2;801;0.6694;5.22;223.56
3576.3;14.29;171.9;337.7;99.2;99.5;64;104.4;49.9;129.8;4.6;190.6;56.8;45.25;56.5;89.7;801;0.6694;5.77;215.15
3576.3;9.53;199.5;286.4;106.36;106.19;57.5;102.64;38.98;76.8;0.6;119;56.8;41.22;48.3;90.7;789.8;0.675;3.08;241.13
3667;7.94;252;354.33;102.93;101.57;56;105.3;33;56.07;0;90.4;57.2;38.74;50.86;100.9;787;0.66;0.51;188
3667;9.53;250;350.2;103.19;103.32;61;105.2;39.06;73.89;0;118;57.2;38.74;50.86;100.1;787;0.66;0.67;178
3667;11.11;240;344;105.67;105.59;65;105.2;44.9;92.13;1.01;146;57.2;38.74;50.86;102;787;0.66;0.84;169
3667;12.7;228;336.7;108.1;108.14;42;105.1;49.84;109.81;1.38;175.5;57.2;38.74;50.86;103.8;787;0.66;1;162
3579;7.94;259.61;365.86;103.47;101.42;52;105.9;28.09;70.73;1.14;117.3;62.57;41.23;;93.2;793.7;0.66;0.65;230
3579;9.53;239.42;342.27;103.2;104.18;58;105.7;35.1;79.58;1.66;129.7;62.57;41.23;;92;793.7;0.66;0.73;201
3579;11.11;213.43;312.27;103.19;103;61;105.2;41.11;85.5;2.59;139.7;62.57;41.23;;93.7;793.7;0.66;0.79;172
3579;12.7;194.24;291.74;103.23;103.92;62;104.5;44.14;86.21;3.16;137.7;62.57;41.23;;89.6;793.7;0.66;0.79;157
3579;14.29;166;263.03;107.38;107.54;63;103.4;49.75;88.07;3.51;142.2;62.57;41.23;;90.3;793.7;0.66;0.81;141
3582.5;9.53;206;292;105.51;105.03;56;104.6;37.79;59.9;0.8;94;62.6;;49.7;92.1;783;0.67;0.54;172
3653;7.94;323.1;440.5;108.89;99.17;37;105.42;16.2;150.07;1.2;492.8;63.6;53.27;56.7;99.4;798;0.654;4.23;385.42
3653;9.53;272.69;388.7;89.65;86.75;48;105.32;22.03;138.98;0.86;238.3;63.6;53.27;56.7;99.7;798;0.654;4.71;295.5
3653;12.7;202.15;308.8;97.88;92.46;54;105.22;35.41;151.79;0.7;245;63.6;53.27;56.7;99.2;798;0.654;5.73;255.68
3653;14.29;165.85;270.5;79.95;81.15;52;105.12;33.83;143.15;0.43;221.2;63.6;53.27;56.7;98.9;798;0.654;5.78;233.96
3653;15.88;138.87;239.3;80.73;79.54;51;105.02;37.26;137.68;0.41;209.7;63.6;53.27;56.7;100.8;798;0.654;5.76;223.11
3653;14.29;149.89;251.3;73.31;72.58;50;100.21;31.99;114.88;0.34;172.5;63.6;53.27;56.7;97;798;0.654;5.25;199.63
3653;11.11;191.41;296.8;76.57;76.82;50;102.38;24.8;109.27;0.33;164;63.6;53.27;56.7;98;798;0.654;4.25;245.68
3650;7.94;337.11;458.6;91.05;89.43;60;105.6;31.18;106.66;0.49;163;63.6;47.33;55.4;89.6;795;0.6822;3.72;294.59
3650;9.53;325.84;452.8;97.79;98.18;66;105.49;40.51;143.01;2.18;218.9;63.6;47.33;55.4;85.5;795;0.6822;5.17;282.24
3650;12.7;299.56;437.3;103.11;105.98;74;105.47;51.38;230.98;4.56;354.6;63.6;47.33;55.4;93.8;795;0.6822;8.4;280.56
3650;14.29;280.33;426.2;107.06;106.77;75;105.42;52.76;272.77;6.25;421.6;63.6;47.33;55.4;92.3;795;0.6822;9.64;292.24
3650;15.87;256.21;414;109.78;109.39;75;105.36;55.51;302.62;8.34;469.6;63.6;47.33;55.4;87.7;795;0.6822;10.93;284.08
3650;14.29;271.47;414.8;108.63;108.64;74;105.35;53.13;262.01;6.01;401.1;63.6;47.33;55.4;96.3;795;0.6822;9.33;289.18
3650;11.11;297.68;424.5;100.13;102.25;70;105.37;44.88;179.76;3.29;274;63.6;47.33;55.4;88.2;795;0.6822;6.42;287.52
3653;9.53;298.57;403.4;111.38;111.61;64;104.42;42.44;118.28;1.47;184.3;63.6;43.4;54.9;88.8;788.9;0.684;4.59;254.84
3653;11.11;285.65;399.2;121.68;123.62;68;104.42;49.18;145.03;2.27;229.5;63.6;43.4;54.9;87.4;788.9;0.684;5.83;243.23
;14.29;221.8;;107.56;106.77;69;;52.22;167.1;1;254;63.6;;;90.8;788.4;0.6847;7.28;219.04
3572;6.35;251.29;341.5;106;114.7;25;104.9;26.5;40;0;98.2;30;38.59;51.3;94.8;780;0.662;0.36;270
3572;9.53;237.1;330;105.9;103.8;31;104.7;38.5;76.6;0;122.1;30;38.59;51.3;94.8;780;0.662;0.69;251
3572;11.11;222.92;316;108.9;108.7;37;104.6;45;91.8;1.1;143.5;30;38.59;51.3;103.6;780;0.662;0.83;236
3572;12.7;222.92;301.6;101.7;108.4;37;104.5;48.2;102.3;2.4;158.9;30;38.59;51.3;98;780;0.662;0.92;217
3588.5;7.94;258;359.9;100.2;100.2;57;105.1;33.2;59.6;1.3;94.7;30;40.39;49.4;97.6;792;0.68;0.55;200
3588.5;9.53;250.3;346.9;98.9;98.8;62;104.88;39;74;2.6;119.1;30;40.39;49.4;95.5;792;0.68;0.68;180
3588.5;11.11;232;330.5;94.5;93.1;66;104.5;43.3;88.7;3.8;138.7;30;40.39;49.4;90.3;792;0.68;0.81;169
3588.5;12.7;214.2;314.2;96.9;97;68;104;47.8;98.6;4.7;159.2;30;40.39;49.4;92;792;0.68;0.9;160
3588.5;14.29;193;297.5;98.2;98.3;68;103.4;51.2;109.1;5.7;170.4;30;40.39;49.4;93.2;792;0.68;1;156
3588.5;12.7;206;306.9;97.2;97.6;67;103.76;48.2;94.7;4.5;149.6;30;40.39;49.4;92.5;792;0.68;0.87;153
;9.53;215;;100.37;100.26;58;;37.54;55.4;0.5;91;30;;;92.9;781;0.67;0.5;152
3478.5;9.53;260;347;93.85;94.36;57;106.51;35.29;67.79;5.49;104;63.52;39.49;;87.9;779.8;0.67;0.61;152
3478.5;11.11;248.14;342;94.36;94.18;60;106.48;40.52;79.32;5.45;122.7;63.52;39.49;;87.9;779.8;0.67;0.72;138
;12.7;200;;102.14;102.23;66;;48.37;80.9;0.7;416;63.5;;;93;776.7;0.67;0.73;131
3640.5;6.35;270.76;403;105.38;105.95;47;104;22.45;49.43;0.32;80;63.3;42.86;50.8;102.4;784;0.68;0.45;212
3640.5;9.53;244.45;396.6;108.49;108.12;59;107.07;36.27;93.85;0.45;151.9;63.3;42.86;50.8;97;792;0.68;0.86;194
3640.5;11.11;235.66;390;107.79;108.5;62;105;42.72;117.47;1.11;185.2;63.3;42.86;50.8;103.7;792;0.68;1.08;187
3640.5;12.7;227.86;384.4;110.17;110.19;64;104.9;47.99;139.53;0.65;222.6;63.3;42.86;50.8;103.8;792;0.68;1.28;180
3667;7.94;264;362.8;95.6;95.34;49;105.54;26.44;61.33;1.37;101.5;63.3;39.02;48.3;93.1;787;0.67;0.56;198
3667;9.53;256;359.3;96.6;97.32;55;105.57;33.69;77.99;3.5;123.1;63.3;39.02;48.3;92.8;787;0.67;0.71;174
3667;11.11;249.27;354;98.95;40.74;60;105.56;39.67;98.2;3.89;154;63.3;39.02;48.3;94.8;787;0.67;0.89;171
3667;12.7;239.64;348.1;100.1;45.06;64;105.51;44.07;113.09;5.19;176.6;63.3;39.02;48.3;95.2;787;0.67;1.03;165
3667;14.29;223.11;340;102.23;47.85;66;105.44;48.17;134.34;6.58;206;63.3;39.02;48.3;96;787;0.67;1.22;162
3670;12.7;229.89;336.3;102.4;102.29;65.1;105.04;44.74;134.48;6.66;195.9;63.3;37.19;48;95.8;778.8;0.67;1.21;140
3668.5;9.53;248;340;94.02;94.2;59;104.85;33.51;66.59;1.39;105.2;72.54;36.75;48.4;88.8;782.53;0.66;0.6;154
3668.5;11.11;239;334;95.51;95.88;61;104.83;39.29;77.91;2.02;122.8;72.54;36.75;48.4;88.1;782.53;0.66;0.71;141
3668.5;12.7;223.89;326;94.89;95.52;64;104.74;42.91;91.24;2.8;142.1;72.54;36.75;48.4;88.8;782.53;0.66;0.83;139
3668.5;14.29;206;318;97.27;95.52;66;104.64;46.72;102.94;3.23;161.1;72.54;36.75;48.4;88.9;782.53;0.66;0.93;132
3424.5;6.35;219.88;316.1;101.82;101.92;24.2;106.2;23.66;39.74;0.6;68.9;44.2;37.21;50.2;101.8;780;0.65;0.36;241
3424.5;9.53;201.64;281.5;103.87;103.97;35.5;106.4;36.56;67.58;1.4;120.4;44.2;37.21;50.2;103.6;780;0.65;0.61;216
3424.5;11.11;182.39;257.9;103.06;103.45;42.3;106.47;42.63;71.29;2.18;123.9;44.2;37.21;50.2;102.6;792;0.65;0.65;191
3424.5;12.7;163.13;236.5;104.28;104.34;47.8;106.4;48.02;74.59;2.5;126.4;44.2;37.21;50.2;103.9;785;0.65;0.68;177
3424.5;14.3;149.96;221.2;104.43;104.62;50.6;106.7;50.58;73.12;2.55;121.4;44.2;37.21;50.2;104;777;0.65;0.66;164
3437;7.5;212;305.56;100.8;99.7;40;106.5;25.9;45.4;0.6;79;44.2;36.46;47.9;99.8;782;0.68;0.41;219
3437;7.94;210.63;298.69;100.6;100.6;48;106.6;28.5;52.8;1;93.1;44.2;36.46;47.9;99.8;782;0.68;0.48;218
3437;9.53;193.52;278.23;100.6;100.6;54;106.6;36.3;63.9;1.5;110.8;44.2;36.46;47.9;100.1;782;0.68;0.58;200
3437;11.11;175.23;256.21;101.2;101.2;54;106.5;41;63;1.7;115.5;44.2;36.46;47.9;100.1;782;0.68;0.57;161
3437;12.7;153.35;234.19;101.3;101.6;56;106.4;46.2;69;0.9;113.2;44.2;36.46;47.9;100.3;782;0.68;0.62;157
3437;14.29;138.16;216.9;101.4;100.2;57;106.43;49.7;71.1;0.8;116.8;44.2;36.46;47.9;100.7;782;0.68;0.64;154
3440;7.94;163.62;174;92.05;90.95;44;102.55;25.94;33.94;0.24;60.9;44.2;29.17;56.1;90;770.1;0.57;0.3;180
3440;7.94;163.6;228.46;92.59;92.64;42;102.51;25.81;33.63;0.24;60.1;44.2;29.17;56.1;90.4;770.1;0.57;0.3;178
3440;7.94;163;228.1;92.63;94.15;43;102.07;26.24;33.85;0.24;59.8;44.2;29.17;56.1;90.7;770.1;0.57;0.3;180
3277.8;6.35;288.78;382.5;101.9;104.1;26.5;106.2;25.9;48.3;0.8;116.8;44.5;40.35;53.9;101.5;781;0.67;0.44;224
3277.8;9.53;282.7;373.7;103.8;103.5;39;106.4;40.1;89.8;3.2;82.6;44.5;40.35;53.9;101.5;186;0.67;0.19;199
3277.8;11.11;271.55;365.7;103.6;102.9;45.3;106.47;46.1;117.3;0.6;152.8;44.5;40.35;53.9;103.2;790;0.67;1.07;201
3277.8;12.7;254.33;354.5;104.1;103.8;50.3;106.4;50.5;138.4;1.6;196.5;44.5;40.35;53.9;102.7;787;0.67;1.26;191
3277.8;14.3;239.13;345.9;105.8;104;53.5;106.7;54;158;1.8;232.4;44.5;40.35;53.9;103.1;787;0.67;1.44;192
3276;7.5;268;370.04;95;95.4;56;104.98;30.4;69.9;1.2;114.7;44.5;39.44;48.3;94.3;785;0.67;0.64;222
3276;9.53;262;364.68;94.9;94.9;62;105.18;37.5;94.4;1.4;154.5;44.5;39.44;48.3;93.5;785;0.67;0.86;212
3276;11.11;252;357.12;97;96.9;66;105.24;43.7;117.6;1.4;196.7;44.5;39.44;48.3;95.3;785;0.67;1.07;204
3276;12.7;237.4;347.44;95.7;95.8;70;105.23;47.9;142;2.1;235.7;44.5;39.44;48.3;94.2;785;0.67;1.29;198
3276;14.3;220;337.88;99.8;99.3;70;105.16;52.1;154.7;2.3;264.3;44.5;39.44;48.3;98.5;785;0.67;1.41;186
3284;7.94;241.12;335.2;88.7;89;51;104.68;27.2;55.4;1.1;93.1;44.5;35.28;40.5;89.7;782;0.66;0.5;201
3284;9.53;240;328.1;91.2;91.4;59.1;104.84;35.7;72.7;1.9;119.2;44.5;35.28;40.5;88.9;782;0.66;0.66;182
3284;11.11;229;318;98;98.9;63.3;104.85;42.5;86.3;3.5;143.9;44.5;35.28;40.5;91;782;0.66;0.78;165
3284;12.7;215;307.8;98.6;97.2;65;104.78;46.3;93.5;4.7;156.8;44.5;35.28;40.5;94.4;782;0.66;0.85;153
3284;14.29;198;293.6;98.5;98.4;66.9;104.63;50.5;106.6;6.4;174.3;44.5;35.28;40.5;94;782;0.66;0.96;147
3288.6;7.94;231.23;309.1;92.6;92.7;51;104.4;28.1;50.5;0.45;84.7;48.37;33.21;;89.9;779.6;0.67;0.46;182
3288.6;11.11;217.2;293.9;93.1;93.3;60;104.6;41.3;72;1.5;123;48.37;33.21;;90.8;779.6;0.67;0.65;145
3289.8;9.53;199;271;95.95;94.64;56;103.9;36.16;47.6;1;80;48.4;;39.9;94;772.6;0.67;0.43;139
